tag,workload,container,precision,config_variant,gpu_type_preset,gpus,tp,pp,cp,ep,dp,mbs,gbs,ga,cuda_graph,seq_len,iters_completed,status,s_iter,s_iter_std,tflops_per_gpu,tflops_std,tokens_s_per_gpu,failure_code,note,experiment,is_fallback,vr200_advantage_pct,gb300_speedup_x,vs_vr200,reason_vs_vr200
F-2606-l8-fp8cs-mbs8-ga4,llama3.1-8b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,1,4,8,128,4,local,8192,0,FAILED,,,,,,oom_dense,OOM: activation memory at this MBS exceeds device memory. MBS=4 was the ceiling for llama3.1 8B on 4 x 284 GB.,pretrain_llama31_8b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs8_gbs128,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
F-2606-l8-fp8cs-mbs8,llama3.1-8b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,1,4,8,32,1,local,8192,0,FAILED,,,,,,oom_dense,OOM: activation memory at this MBS exceeds device memory. MBS=4 was the ceiling for llama3.1 8B on 4 x 284 GB.,pretrain_llama31_8b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs8_gbs32,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
F-2606-l8-nvfp4-mbs2,llama3.1-8b,26.06.01,nvfp4,v1,gb300,4,1,1,1,1,4,2,8,1,local,8192,50,OK,0.353,0.002,2392.00,13.98,46414,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8,False,,7.09,7.09x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
F-2606-l8-nvfp4-mbs4,llama3.1-8b,26.06.01,nvfp4,v1,gb300,4,1,1,1,1,4,4,16,1,local,8192,50,OK,0.647,0.003,2607.07,13.99,50646,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs16,False,,7.74,7.74x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
F-2606-l8-nvfp4-mbs8,llama3.1-8b,26.06.01,nvfp4,v1,gb300,4,1,1,1,1,4,8,32,1,local,8192,1,FAILED,,,,,,oom_dense,OOM: activation memory at this MBS exceeds device memory. MBS=4 was the ceiling for llama3.1 8B on 4 x 284 GB.,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs8_gbs32,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
F-2606-q30-bf16-mbs1,qwen3-30b-a3b,26.06.01,bf16,v1,gb300,4,1,1,1,4,4,1,256,64,transformer_engine,4096,50,OK,33.350,0.176,180.84,0.96,7860,,,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs1_gbs256,False,18.5,,VR200 +18.5%,"bf16 without the arch workarounds. Runnable on VR200 only in part: dropping Triton/cuDNN fusions needs kernels sm_107 lacks. The MBS and GBS portion of the gain IS portable -- pure batch shape, no kernel."
F-2606-q30-bf16-mbs2,qwen3-30b-a3b,26.06.01,bf16,v1,gb300,4,1,1,1,4,4,2,256,32,transformer_engine,4096,50,OK,17.427,0.060,346.08,1.19,15042,,,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs2_gbs256,False,,1.61,1.61x GB300,"bf16 without the arch workarounds. Runnable on VR200 only in part: dropping Triton/cuDNN fusions needs kernels sm_107 lacks. The MBS and GBS portion of the gain IS portable -- pure batch shape, no kernel. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
F-2606-q30-fp8cs-mbs1,qwen3-30b-a3b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,4,4,1,256,64,transformer_engine,4096,50,OK,53.072,0.246,113.64,0.53,4939,,,pretrain_qwen3_30b_a3b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs1_gbs256,False,88.6,,VR200 +88.6%,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
F-2606-q30-fp8cs-mbs2,qwen3-30b-a3b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,4,4,2,256,32,transformer_engine,4096,5,RUNNING,,,,,,in_flight,"only 5/50 iterations and no diagnosed failure: still executing, or killed mid-run. Not a result -- excluded from COMPARISON.md rather than shown as a failure.",pretrain_qwen3_30b_a3b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs2_gbs256,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
G-2606-fp8dpa-why,llama3.1-8b,26.06.01,nvfp4,v1,gb300,4,1,1,1,1,4,2,8,1,local,8192,0,FAILED,,,,,,fp8_dpa_no_backend,TransformerEngine has no fp8 attention backend for this arch; every nvfp4/fp8 preset sets fp8_dot_product_attention=true. Workaround: mixed_precision.fp8_dot_product_attention=false model.fp8_dot_product_attention=false,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
G-2606-q30-bf16-mbs4,qwen3-30b-a3b,26.06.01,bf16,v1,gb300,4,1,1,1,4,4,4,256,16,transformer_engine,4096,50,OK,10.756,0.006,560.69,0.31,24372,,,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs4_gbs256,False,,2.62,2.62x GB300,"bf16 without the arch workarounds. Runnable on VR200 only in part: dropping Triton/cuDNN fusions needs kernels sm_107 lacks. The MBS and GBS portion of the gain IS portable -- pure batch shape, no kernel. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
G-2606-q30-fp8cs-mbs2,qwen3-30b-a3b,26.06.01,fp8_cs,v1,gb300,4,1,1,1,4,4,2,256,32,transformer_engine,4096,50,OK,27.801,0.105,216.93,0.81,9429,,,pretrain_qwen3_30b_a3b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs2_gbs256,False,,1.01,1.01x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
G-2608-l8-nvfp4-mbs4-gbs128,llama3.1-8b,26.08.00,nvfp4,v1,gb300,4,1,1,1,1,4,4,128,8,local,8192,50,OK,4.417,0.033,2914.67,21.91,59349,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs128,False,,9.07,9.07x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
G-2608-l8-nvfp4-mbs4-gbs256,llama3.1-8b,26.08.00,nvfp4,v1,gb300,4,1,1,1,1,4,4,256,16,local,8192,50,OK,8.828,0.044,2916.25,14.75,59389,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs256,False,,9.08,9.08x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
G-2608-q30-bf16-mbs2,qwen3-30b-a3b,26.08.00,bf16,v1,gb300,4,1,1,1,4,4,2,256,32,transformer_engine,4096,50,OK,16.575,0.104,363.82,2.28,15816,,,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs2_gbs256,False,,1.70,1.70x GB300,"bf16 without the arch workarounds. Runnable on VR200 only in part: dropping Triton/cuDNN fusions needs kernels sm_107 lacks. The MBS and GBS portion of the gain IS portable -- pure batch shape, no kernel. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
G-2608-q30-bf16-mbs4,qwen3-30b-a3b,26.08.00,bf16,v1,gb300,4,1,1,1,4,4,4,256,16,transformer_engine,4096,50,OK,10.813,0.008,557.66,0.42,24243,,,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs4_gbs256,False,,2.60,2.60x GB300,"bf16 without the arch workarounds. Runnable on VR200 only in part: dropping Triton/cuDNN fusions needs kernels sm_107 lacks. The MBS and GBS portion of the gain IS portable -- pure batch shape, no kernel. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
N2-anchor-2606-l8-bf16fallback,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,1,8,2,local,8192,50,OK,3.459,0.001,243.84,0.05,4737,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs1_gbs8,True,38.1,,VR200 +38.1%,"Runnable on both: the bf16 fallback lands in cuBLAS/cuDNN, which ship with the driver rather than the container, so it works on an arch the container has no cubins for. This is the apples-to-apples row, and VR200 wins it because Rubin's bf16 silicon is genuinely faster. NOTE: `precision` shows the preset (nvfp4 for llama, which has no bf16 preset); the executed precision is bf16."
R-2606-l8-bf16-mbs1-gbs64-norecompute,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,1,64,16,local,8192,50,OK,18.980,0.002,355.43,0.05,6906,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs1_gbs64,True,,1.06,1.06x GB300,"Runnable on both: the bf16 fallback lands in cuBLAS/cuDNN, which ship with the driver rather than the container, so it works on an arch the container has no cubins for. This is the apples-to-apples row, and VR200 wins it because Rubin's bf16 silicon is genuinely faster. NOTE: `precision` shows the preset (nvfp4 for llama, which has no bf16 preset); the executed precision is bf16."
R-2606-l8-bf16-mbs1-gbs64-recompute,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,1,64,16,local,8192,50,OK,27.364,0.002,246.54,0.05,4790,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs1_gbs64,True,36.6,,VR200 +36.6%,"Runnable on both: the bf16 fallback lands in cuBLAS/cuDNN, which ship with the driver rather than the container, so it works on an arch the container has no cubins for. This is the apples-to-apples row, and VR200 wins it because Rubin's bf16 silicon is genuinely faster. NOTE: `precision` shows the preset (nvfp4 for llama, which has no bf16 preset); the executed precision is bf16."
R-2606-l8-bf16-mbs1-gbs8-norecompute,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,1,8,2,local,8192,50,OK,2.417,0.001,348.94,0.08,6779,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs1_gbs8,True,,1.04,1.04x GB300,"Runnable on both: the bf16 fallback lands in cuBLAS/cuDNN, which ship with the driver rather than the container, so it works on an arch the container has no cubins for. This is the apples-to-apples row, and VR200 wins it because Rubin's bf16 silicon is genuinely faster. NOTE: `precision` shows the preset (nvfp4 for llama, which has no bf16 preset); the executed precision is bf16."
R-2606-l8-bf16-mbs2-gbs8-norecompute,llama3.1-8b,26.06.01,nvfp4,v1,gb200,4,1,1,1,1,4,2,8,1,local,,0,FAILED,,,,,,unknown,see log,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8,True,,,no metrics,"Runnable on both: the bf16 fallback lands in cuBLAS/cuDNN, which ship with the driver rather than the container, so it works on an arch the container has no cubins for. This is the apples-to-apples row, and VR200 wins it because Rubin's bf16 silicon is genuinely faster. NOTE: `precision` shows the preset (nvfp4 for llama, which has no bf16 preset); the executed precision is bf16."
S-2608-l8-fp8cs-mbs2,llama3.1-8b,26.08.00,fp8_cs,v1,gb300,4,1,1,1,1,4,2,8,1,local,8192,50,OK,0.420,0.004,1916.32,17.78,39010,,,pretrain_llama31_8b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8,False,,5.96,5.96x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-l8-fp8cs-mbs4,llama3.1-8b,26.08.00,fp8_cs,v1,gb300,4,1,1,1,1,4,4,16,1,local,8192,50,OK,0.810,0.005,1987.11,12.03,40454,,,pretrain_llama31_8b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs16,False,,6.18,6.18x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-l8-nvfp4-mbs2,llama3.1-8b,26.08.00,nvfp4,v1,gb300,4,1,1,1,1,4,2,8,1,local,8192,50,OK,0.317,0.002,2536.95,16.99,51685,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8,False,,7.90,7.90x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-l8-nvfp4-mbs4-ga4,llama3.1-8b,26.08.00,nvfp4,v1,gb300,4,1,1,1,1,4,4,64,4,local,8192,50,OK,2.211,0.013,2910.78,17.60,59282,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs64,False,,9.06,9.06x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-l8-nvfp4-mbs4-gbs128,llama3.1-8b,26.08.00,nvfp4,v1,gb300,4,1,1,1,1,4,4,128,8,local,,0,FAILED,,,,,,unknown,see log,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs128,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-l8-nvfp4-mbs4,llama3.1-8b,26.08.00,nvfp4,v1,gb300,4,1,1,1,1,4,4,16,1,local,8192,50,OK,0.575,0.003,2797.83,13.92,56988,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs16,False,,8.71,8.71x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-l8-nvfp4-v2-mbs4,llama3.1-8b,26.08.00,nvfp4,v2,gb300,4,1,1,1,1,4,4,16,1,local,8192,50,OK,0.579,0.002,2778.50,10.57,56594,,,pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs4_gbs16,False,,8.65,8.65x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-q30-bf16-mbs1,qwen3-30b-a3b,26.08.00,bf16,v1,gb300,4,1,1,1,4,4,1,256,64,transformer_engine,4096,50,OK,32.335,0.115,186.50,0.67,8107,,,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs1_gbs256,False,14.9,,VR200 +14.9%,"bf16 without the arch workarounds. Runnable on VR200 only in part: dropping Triton/cuDNN fusions needs kernels sm_107 lacks. The MBS and GBS portion of the gain IS portable -- pure batch shape, no kernel."
S-2608-q30-bf16-mbs2,qwen3-30b-a3b,26.08.00,bf16,v1,gb300,4,1,1,1,4,4,2,256,32,transformer_engine,4096,0,FAILED,,,,,,unknown,see log,pretrain_qwen3_30b_a3b_bf16_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs2_gbs256,False,,,no metrics,"bf16 without the arch workarounds. Runnable on VR200 only in part: dropping Triton/cuDNN fusions needs kernels sm_107 lacks. The MBS and GBS portion of the gain IS portable -- pure batch shape, no kernel. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
S-2608-q30-fp8cs-mbs1,qwen3-30b-a3b,26.08.00,fp8_cs,v1,gb300,4,1,1,1,4,4,1,256,64,transformer_engine,4096,25,RUNNING,,,,,,in_flight,"only 25/50 iterations and no diagnosed failure: still executing, or killed mid-run. Not a result -- excluded from COMPARISON.md rather than shown as a failure.",pretrain_qwen3_30b_a3b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs1_gbs256,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
S-2608-q30-fp8cs-mbs2,qwen3-30b-a3b,26.08.00,fp8_cs,v1,gb300,4,1,1,1,4,4,2,256,32,transformer_engine,4096,50,OK,26.402,0.119,228.40,1.02,9929,,,pretrain_qwen3_30b_a3b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs2_gbs256,False,,1.07,1.07x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
S-2608-q30-fp8cs-mbs4,qwen3-30b-a3b,26.08.00,fp8_cs,v1,gb300,4,1,1,1,4,4,4,256,16,transformer_engine,4096,0,FAILED,,,,,,unknown,see log,pretrain_qwen3_30b_a3b_fp8_cs_gpus4_tp1_pp1_cp1_vpNone_ep4_etp1_mbs4_gbs256,False,,,no metrics,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs. MBS above 1 is the dominant lever for this MoE (1 -> 4 measured 3.10x) and is arch-independent, so it should transfer to sm_107."
Z-2608-l8-nvfp4-mbs2-ga1,llama3.1-8b,26.08.00,nvfp4,v1,gb300,4,1,1,1,1,4,2,8,1,local,8192,50,OK (eval crashed),0.317,0.002,2537.96,13.24,51685,cuda_graph_assert,"PyTorch INTERNAL ASSERT in CUDA-graph capture during POST-TRAINING eval (nemo 26.08.00 / torch 2.13.0a0). Training is unaffected, so timings from a run that got this far are valid. Workaround: train.eval_iters=0",pretrain_llama31_8b_nvfp4_gpus4_tp1_pp1_cp1_vpNone_ep1_etpNone_mbs2_gbs8,False,,7.90,7.90x GB300,"VR200 CANNOT RUN THIS: TransformerEngine ships no sm_107a cubin and te_ptx_entries=0, so there is no PTX to JIT from and the quantize kernel fails outright. The GB300 advantage here is unlocked software, not raw FLOPs."
